Category;ProductNaam;ProductNaamEngels;Eenheid;EenheidGewicht;Energie;Eiwit;Koolhydraat;VetTotaal;VetVerzadigd;VetOnverzadigd;VetzurenTrans;Linolzuur;Cholesterol;Alcohol;Vezels;Na;Ca;Fe;Mg;Se;Zn;K;P;VitamineA;VitamineB1;VitamineB2;VitamineB6;VitamineB12;VitamineC;VitamineD;VitamineE;Foliumzuur;Nicotz;totMdisac;totPdisac;eiwitP;PEiw,,,
Koek, gebak, snoep, ijs;M & M's met pinda's;M & M's with peanuts;handje;17;514;10;57;27;11;16;0.1;4;9;0;2.3;58;130;1.6;69;1;1.1;364;126;13;0.1;0.18;0.2;0;0;0.4;1.4;;3.3;53.1;4.2;29;12.4
Koek, gebak, snoep, ijs;Maanzaadbroodje wit;Poppy Seed Bun White;bolletje;45;295;9;53;5;1;4;0.2;1.1;6;0;2.7;500;74;1.4;29;4;0.75;178;120;1;0.07;0.11;0.07;0;0;0;0.2;39;0.7;5.2;47;37;12.9
Koek, gebak, snoep, ijs;Maisbroodje;Corn bun;bolletje;45;295;9;53;5;1;4;0.2;1.1;6;0;2.7;500;74;1.4;29;4;0.75;178;120;1;0.07;0.11;0.07;0;0;0;0.2;39;0.7;5.2;47;37;12.9
Koek, gebak, snoep, ijs;Mariabiscuitje;Mariabiscuitje;stuks;6;435;9;77;10;4;6;1.4;1;7;0;2.3;370;28;1.1;18;4;0.41;172;142;0;0.03;0.03;0.04;0;0;0.1;3.8;9;1;17.7;59;35;16.1
Koek, gebak, snoep, ijs;Mars;Mars;reep;58;445;4;69;17;11;7;1.3;0.7;8;0;1;186;95;1.2;32;2;0.66;192;110;33;0.04;0.17;0.03;;0;0.3;1.2;;0.1;62.9;6;4;30.6
Koek, gebak, snoep, ijs;Marsepein;Marzipan;stukje;25;424;7;65;15;1;14;0;2.8;0;0;4.4;13;78;1.3;82;2;0.97;291;140;0;0.04;0.13;0.03;0.05;0;0;7.4;11;1.1;65;0;24;21.2
Koek, gebak, snoep, ijs;Marshmellows;Marshmellows;stuks;4;328;2;80;0;0;0;0;0;0;0;0;2;18;1.6;2;0;0;2;4;0;0;0;0;0;0;0;0;1;0;80;0;8;2
Koek, gebak, snoep, ijs;melkchocolade;milk chocolate;stukje;5;538;7;55;33;19;14;0.1;1;10;0;0.8;100;162;3.2;4;8;0.11;404;205;26;0.08;0.4;0.04;0;0;0;1.2;7;0.5;54.7;0;15;31.1
Koek, gebak, snoep, ijs;Melkchocolade m noten;Milk chocolate to nuts;blokje;7;574;9;43;41;19;22;0.1;2;8;0;2.7;76;171;3.2;41;6;0.68;453;229;19;0.16;0.32;0.09;0;2;0;6.4;12;0.9;42.3;0.3;25;26.9
Koek, gebak, snoep, ijs;Melkchocolade z suiker;Milk sugar z;reep;25;485;6;12;35;20;15;0.1;1.1;14;0;3.1;90;250;4;100;8;0.11;404;205;26;0.08;0.4;0.04;0;0;0;1.2;7;0.5;12.1;0;4;36
Koek, gebak, snoep, ijs;Melkchocolade+hazeln-suik;Milk + hazeln-suik;reep;25;513;7;11;39;19;21;0.1;1.4;12;0;3.8;80;220;4;41;6;0.68;453;229;19;0.16;0.32;0.09;0;2;0;1.1;;0.9;7.9;3.4;9;33.7
Koek, gebak, snoep, ijs;Milky way;Milky way;reep;26;447;4;72;16;10;6;1.4;0.7;7;0;0.5;242;90;1.1;21;1;0.47;145;84;28;0.04;0.19;0.02;;0;0.4;0.1;;0.1;67;4.8;4;23.3
Koek, gebak, snoep, ijs;Mokka- cremetaart;Mocha-creme pie;stuks;80;398;4;38;25;14;11;1.9;1.9;136;1;0.2;92;30;0.5;7;5;0.39;65;62;285;0.02;0.13;0.03;0.27;0;0.6;1.4;10;0.1;29.6;8;4;14.8
Koek, gebak, snoep, ijs;Mon Choutaart-;Choutaart mon-;punt;115;328;3;32;21;11;10;0.7;1.5;44;0;1.4;126;68;0.8;16;1;0.5;125;80;197;0.1;0.07;0.03;0.07;4;0.6;0.3;7;0.5;22.5;9.8;6;28.6
Koek, gebak, snoep, ijs;mueslikoek;muesli biscuits;stuks;29;387;7;54;16;7;10;1.9;1.3;28;0;3.3;100;45;2.3;45;;;275;210;0;0.02;0.01;0;;0;;;;2.7;21.2;32.9;22;32.3
Koek, gebak, snoep, ijs;Mueslireep;Muesli Bar;reep;22;389;6;71;9;1;8;0;4.7;;0;2.6;185;70;0.8;30;;1;215;125;;0.77;0.9;1.1;;33;;5.5;;9.9;38.2;33;0;22.3
Koek, gebak, snoep, ijs;Mueslireep m chocolade;Chocolate granola bar m;reep;20;441;7;53;22;8;15;0;0.2;0;0;4.3;376;154;3;123;0;2.09;500;242;3;0.18;0.18;0.07;0;1;0;0.2;9;1.2;35.4;17.3;29;33.2
Koek, gebak, snoep, ijs;Nuts;Nuts;reep;50;475;5;62;23;10;13;1;1;7;0;1.8;41;107;1.4;45;2;0.9;237;131;30;0.08;0.16;0.05;0;1;0.3;3.8;6;0.3;57;5;8;26.2
Koek, gebak, snoep, ijs;Oliebol;Donut;stuks;55;246;7;40;6;1;5;0;3.3;15;0;2.1;339;67;0.8;22;4;0.55;255;106;14;0.07;0.15;0.1;0.2;1;0.1;4.1;29;0.5;13.2;27.1;19;15.8
Koek, gebak, snoep, ijs;Ontbijtkoek;Gingerbread;plak;20;305;3;70;1;0;1;0;0.2;1;0;2.5;250;16;1.2;13;3;0.4;103;140;0;0.05;0.01;0.05;0;0;0;0.5;8;0.2;36.3;33.9;14;41.2
Koek, gebak, snoep, ijs;Ontbijtkoek m vruchtenvulsel;Gingerbread m fruit stuffing;stuks;18;299;3;70;1;0;1;0;0.2;1;0;2.5;210;19;0.9;19;2;0.39;100;112;0;0.04;0.01;0.04;0;0;0;0.4;6;0.2;42.4;27.5;11;41.5
Koek, gebak, snoep, ijs;Ontbijtkoek volkoren;Gingerbread wholemeal;plak;20;302;5;66;2;1;2;0;0.5;0;0;4.5;150;43;2.7;50;;0.57;390;168;0;0.09;0.06;0.07;0;0;;;8;0.2;32;34;20;33.6
Koek, gebak, snoep, ijs;Palmpaashaantje;Easter palm Cock;stuks;50;295;9;53;5;1;4;0.2;1.1;6;0;2.7;500;74;1.4;29;4;0.75;178;120;1;0.07;0.11;0.07;0;0;0;0.2;39;0.7;5.2;47;37;12.9
Koek, gebak, snoep, ijs;Pasteibakje;Pasteibakje;stuks;28;584;9;45;41;18;23;5.1;2.8;5;0;1.4;421;;0.6;;;;88;;0;0.04;0.02;0.08;0;0;;;5;0.6;3.2;42.1;34;
Koek, gebak, snoep, ijs;Pasteibakje roomboter;Pasteibakje butter;stuks;30;655;7;42;51;33;18;2.2;0.6;99;0;1.4;326;15;0.6;;;;94;50;155;0.32;0.26;0.1;0;0;;;5;3.8;3;39;28;7.1
Koek, gebak, snoep, ijs;Pennywafel;Penny Waffle;stuks;15;492;6;68;22;12;10;0.1;1.4;6;0;2;200;32;1.3;23;3;0.57;187;93;13;0.06;0.08;0.05;;0;0;2.3;;1;42;26;22;16.9
Koek, gebak, snoep, ijs;Peperkoek;Gingerbread;plak;20;305;3;70;1;0;1;0;0.2;1;0;2.5;250;16;1.2;13;3;0.4;103;140;0;0.05;0.01;0.05;0;0;0;0.5;8;0.2;36.3;33.9;14;41.2
Koek, gebak, snoep, ijs;Peperkoek m vruchtenvulsel;M gingerbread fruit stuffing;stuks;18;299;3;70;1;0;1;0;0.2;1;0;2.5;210;19;0.9;19;2;0.39;100;112;0;0.04;0.01;0.04;0;0;0;0.4;6;0.2;42.4;27.5;11;41.5
Koek, gebak, snoep, ijs;Pepermunt;Peppermint;kleine;2;396;0;99;0;0;0;0;0;0;0;0;9;7;0.2;3;0;0.04;0;0;0;0;0;0;0;0;0;0;0;0;99;0;0;
Koek, gebak, snoep, ijs;Pepernoot;Pepernoot;handje;10;489;6;68;21;10;11;2;2.6;40;0;1.5;400;33;2.3;18;4;0.5;146;130;79;0.09;0.03;0.03;;0;1.5;2.8;;0.7;29.7;38.6;24;21.3
Koek, gebak, snoep, ijs;Petitfour;Petit Four;;;398;4;38;25;14;11;1.9;1.9;136;1;0.2;92;30;0.5;7;5;0.39;65;62;285;0.02;0.13;0.03;0.27;0;0.6;1.4;10;0.1;29.6;8;4;14.8
Koek, gebak, snoep, ijs;Peutervoedingsbiscuit;Toddler feeding Biscuit;stuks;15;394;8;74;8;1;7;0;2.3;10;0;2;140;370;2.1;20;;0.8;210;45;;0.45;0.08;0.17;;0;0.1;1.5;;1.8;27;47;27;6
Koek, gebak, snoep, ijs;Pim's cake orange;Pim's orange cake;middel;13;398;4;69;12;5;7;0;0.9;33;0;1.4;180;22;1.8;30;6;0.56;139;100;188;0.03;0.07;0.05;0.1;0;1.4;2.7;7;0.3;57.6;11.2;7;26.3
Koek, gebak, snoep, ijs;Popcorn gepoft naturel;Popcorn popped plain;handje;10;376;13;72;4;1;3;0;1.6;0;0;5;3;11;1.1;86;1;0.1;240;281;5;0.39;0.12;0;0;0;0;0;;2.2;0;72;52;21.6
Koek, gebak, snoep, ijs;Puddingbroodje;Bread Pudding;stuks;100;212;5;38;4;3;2;0.1;0.6;5;0;1.3;269;59;0.5;13;2;0.4;119;75;12;0.04;0.08;0.03;0.11;1;0;0.1;13;0.4;9.9;28.1;16;14.4
Koek, gebak, snoep, ijs;Puddingsaus vruchten-;Pudding Fruit Sauce;sauslepel;25;160;0;40;0;0;0;0;0;0;0;0.5;;8;0.4;2;;0.05;;9;0;;;;0;;0;;0;;40;0;0;
Koek, gebak, snoep, ijs;Rijstevlaai;Rice Pie;punt;85;239;7;31;10;4;6;0;2.6;55;0;0.6;310;99;0.6;17;4;0.73;171;128;111;0.06;0.21;0.08;0.44;1;0.9;0.3;26;0.4;9.4;21;12;18.6
Koek, gebak, snoep, ijs;Rijstwafel;Rice Waffle;;;375;7;82;2;1;2;0;0.8;0;0;4.1;97;18;0.9;132;10;2;303;324;0;0.6;0.03;0.17;0;0;0;0.1;20;4.8;1;80.3;29;45
Koek, gebak, snoep, ijs;Rondo;Rondo;stuks;50;433;6;61;19;7;12;1.3;3;42;0;3;250;34;1.2;20;3;0.5;137;130;112;0.04;0.04;0.08;;0;1.2;3.3;4;0.8;31.5;29.6;22;23.6
Koek, gebak, snoep, ijs;Roomborstplaat;Plain cream;stuks;10;334;1;76;3;2;1;0.2;0;8;0;0;10;22;0;2;0;0.07;28;17;33;0.01;0.03;0.01;0.07;0;0.1;0.1;1;0;75.9;0;0;24.3
Koek, gebak, snoep, ijs;Roomboter koekje gemid;Butter biscuit average;middel;10;519;6;62;27;17;10;0.9;0.8;70;0;2.2;320;28;1.2;19;3;0.46;121;90;168;0.08;0.05;0.04;0.05;0;0.4;2.2;3;0.9;31.4;30.4;24;14.3
Koek, gebak, snoep, ijs;Roomboter ongezouten;Unsalted butter;beleg (dik);8;737;1;1;81;53;28;3.5;1;221;0;0;5;17;0.1;2;1;0.09;27;23;867;0.01;0.03;0;0;0;1.2;1.9;0;0;1.1;0;0;32.9
Koek, gebak, snoep, ijs;Roombotercake;Butter Cake;stuks;18;422;7;45;24;10;14;0.6;1.6;173;0;0.6;191;36;0.8;11;7;0.56;112;170;188;0.03;0.15;0.05;0.25;0;1.4;1.9;16;0.3;27;17.8;13;24.6
Koek, gebak, snoep, ijs;Roomijs;Ice cream;dessertschaaltje;100;217;3;26;11;7;4;0.4;0.1;26;0;0.3;78;98;0.1;18;1;0.36;150;70;91;0.06;0.1;0.04;0.3;0;0.2;0.4;5;0.1;19.9;5.8;0;23.3
Koek, gebak, snoep, ijs;San Francisco biscuit;San Francisco biscuit;stuks;8;435;9;77;10;4;6;1.4;1;7;0;2.3;370;28;1.1;18;4;0.41;172;142;0;0.03;0.03;0.04;0;0;0.1;3.8;9;1;17.7;59;35;16.1
Koek, gebak, snoep, ijs;San Francisco biscuit volkoren;San Francisco wholemeal biscuit;stuks;10;452;9;68;16;5;11;;1;30;0;5.5;500;30;4;64;4;2.7;300;300;0;0.25;0.1;0.06;0;0;0.1;4;11;2;16.7;51.3;36;33.3
Koek, gebak, snoep, ijs;Schuimkoekje;Foam Cookie;stuks;6;352;6;82;0;0;0;0;0;0;0;0;35;41;0.4;5;;0.1;38;29;0;0;0;0;0;0;0;0.9;0;0.1;82;0;0;4.8
Koek, gebak, snoep, ijs;Schuimpje;Meringue;stuks;4;328;2;80;0;0;0;0;0;0;0;0;2;18;1.6;2;0;0;2;4;0;0;0;0;0;0;0;0;1;0;80;0;8;2
Koek, gebak, snoep, ijs;Schuimtaart crem au beurre;Foam Cake creme butter;punt;70;429;5;56;20;7;13;0.3;3.4;18;0;2.1;52;47;0.6;41;2;0.51;165;76;132;0.03;0.11;0.02;0.12;0;0.6;0.2;6;0.5;54.1;1.9;12;16.2
Koek, gebak, snoep, ijs;Scone;Scone;stuks;55;246;7;40;6;1;5;0;3.3;15;0;2.1;339;67;0.8;22;4;0.55;255;106;14;0.07;0.15;0.1;0.2;1;0.1;4.1;29;0.5;13.2;27.1;19;15.8
Koek, gebak, snoep, ijs;Sesambroodje wit;White Sesame Bun;bolletje;45;295;9;53;5;1;4;0.2;1.1;6;0;2.7;500;74;1.4;29;4;0.75;178;120;1;0.07;0.11;0.07;0;0;0;0.2;39;0.7;5.2;47;37;12.9
Koek, gebak, snoep, ijs;Slagroomsoes;Slagroomsoes;middel;45;287;4;15;23;12;12;0.9;2.6;99;0;0.2;133;45;0.4;8;4;0.35;78;66;258;0.02;0.13;0.03;0.27;0;1.3;0.9;10;0.4;8.1;6.9;4;15.7
Koek, gebak, snoep, ijs;Slagroomtaart;Cream cake;stuks;80;299;5;29;18;11;7;0.2;0.9;94;0;0.5;60;56;0.6;12;5;0.44;134;140;133;0.08;0.15;0.04;;0;0.4;1.2;13;0.1;23.2;5.5;19;29.2
Koek, gebak, snoep, ijs;Smarties;Smarties;stuks;1;487;5;70;21;12;9;0.1;0.7;6;0;1.5;84;165;1.6;48;8;0.96;316;175;5;0.06;0.24;0.04;0;0;0.5;0.1;;0.1;66.6;3;5;37.2
Koek, gebak, snoep, ijs;Snackcups;Snack Cups;stuks;3;465;8;70;17;7;10;1.6;1.8;0;0;2.2;610;110;1.7;25;4;0.7;120;110;0;0.23;0.05;0.03;0;0;0;1.3;16;1.7;5;65;32;13.8
Koek, gebak, snoep, ijs;Snickers;Snickers;reep;60;509;10;53;29;8;20;0.7;5;5;0;2.9;359;98;1.2;72;1;1.31;312;186;18;0.08;0.18;0.17;;0;0.2;1;;3.4;46.6;6;30;19.2
Koek, gebak, snoep, ijs;Snijkoek;Cutting Cake;plak;20;305;3;70;1;0;1;0;0.2;1;0;2.5;250;16;1.2;13;3;0.4;103;140;0;0.05;0.01;0.05;0;0;0;0.5;8;0.2;36.3;33.9;14;41.2
Koek, gebak, snoep, ijs;Snijkoek met vruchtenvulsel;Cut cake with fruit stuffing;stuks;18;299;3;70;1;0;1;0;0.2;1;0;2.5;210;19;0.9;19;2;0.39;100;112;0;0.04;0.01;0.04;0;0;0;0.4;6;0.2;42.4;27.5;11;41.5
Koek, gebak, snoep, ijs;Snoepje;Sweet;stuks;5;380;0;95;0;0;0;0;0;0;0;0;25;4;0.2;2;0;0.04;5;3;0;0;0;0;0;0;0;0;0;0;71;24;0;
Koek, gebak, snoep, ijs;Snoepje suikervrij;Sugar free candy;kleine;1;154;0;0;0;0;0;0;0;0;0;0;0;0;5;186;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Koek, gebak, snoep, ijs;Soepstengel;Flour;stuks;5;360;14;67;4;1;3;0.1;1.3;0;0;2.6;750;15;2.2;12;34;0.6;150;150;0;0.15;0.06;0.05;0;0;0;0;15;1;15;52;56;10.8
Koek, gebak, snoep, ijs;Soes ongevuld;Puff unfilled;stuks;10;228;6;14;17;6;10;0;4.6;114;0;0.4;231;23;0.8;9;7;0.54;73;81;196;0.03;0.16;0.04;0.35;0;1.7;1;17;0.2;0.3;13.4;8;12.9
Koek, gebak, snoep, ijs;Soes slagroom;Eclair cream;middel;45;287;4;15;23;12;12;0.9;2.6;99;0;0.2;133;45;0.4;8;4;0.35;78;66;258;0.02;0.13;0.03;0.27;0;1.3;0.9;10;0.4;8.1;6.9;4;15.7
Koek, gebak, snoep, ijs;Speculaas;Biscuit;gebakbordje;50;489;6;68;21;10;11;2;2.6;40;0;1.5;400;33;2.3;18;4;0.5;146;130;79;0.09;0.03;0.03;;0;1.5;2.8;;0.7;29.7;38.6;24;21.3
Koek, gebak, snoep, ijs;Speculaas gevulde;Biscuit filled;plak;150;467;8;51;26;7;19;0;6.8;31;0;3.1;320;57;1.4;54;3;0.86;228;124;175;0.05;0.11;0.06;0.15;1;1.5;0.2;15;0.9;30.6;20;26;16.3
Koek, gebak, snoep, ijs;Spekkie;Spekkie;stuks;6;352;6;82;0;0;0;0;0;0;0;0;35;41;0.4;5;;0.1;38;29;0;0;0;0;0;0;0;0.9;0;0.1;82;0;0;4.8
Koek, gebak, snoep, ijs;Spritsstukken;Sprit Pieces;stuks;25;535;6;59;31;13;18;4.9;2.3;42;0;1.1;280;16;0.8;11;2;0.36;101;81;178;0.06;0.03;0.07;;0;0.1;4.6;;0;22.2;36.5;18;14.7
Koek, gebak, snoep, ijs;Stophoest;Stop Cough;stuks;2;396;1;98;0;0;0;0;0;0;0;0;;;;;;;;;0;;;;0;;0;;0;;91.4;7;0;
Koek, gebak, snoep, ijs;Stroopwafel;Treacle;middel;30;425;4;67;16;7;9;1.6;1.4;42;0;0.4;256;14;1.1;9;2;0.3;97;71;130;0.04;0.02;0.04;0.12;0;1.6;2;8;0.2;26.3;40.2;10;19.2
Koek, gebak, snoep, ijs;Suikerbroodje met spijs;Sugar bread with meat;stuks;60;437;9;49;23;10;13;2;2.2;42;0;3.6;238;71;1.3;65;4;1.01;260;149;185;0.05;0.14;0.07;0.21;2;1.6;0.3;18;1;30.1;18.7;27;17.5
Koek, gebak, snoep, ijs;Sultana naturel;Sultana natural;stuks;21;366;7;65;9;1;8;0.1;2.2;0;0;5.3;125;310;7;50;;1.8;500;150;;0.08;0.03;1.2;;0;;1.5;;0.4;33.7;31;24;21.7
Koek, gebak, snoep, ijs;Taaitaai;Stollen;stuks;20;305;3;70;1;0;1;0;0.2;1;0;2.5;250;16;1.2;13;3;0.4;103;140;0;0.05;0.01;0.05;0;0;0;0.5;8;0.2;36.3;33.9;14;41.2
Koek, gebak, snoep, ijs;Taartbodem biscuitdeeg;Soil sponge cake;kleine;19;299;7;59;4;1;3;0;0.6;109;0;0.6;485;20;0.9;12;7;0.59;89;85;59;0.04;0.16;0.06;0.34;0;0.5;1;17;0.3;33.7;25.6;13;11.5
Koek, gebak, snoep, ijs;Taartbodem cakedeeg;Bottom cake cake dough;kleine;19;419;7;45;24;8;16;3.1;2.5;99;0;0.6;282;36;0.8;11;7;0.56;112;170;188;0.03;0.14;0.05;0.31;0;1.4;2.7;16;0.3;27;17.8;13;24.6
Koek, gebak, snoep, ijs;Taartbodem zandtaartdeeg;Sand pie bottom pastry;stuks;50;532;5;59;31;12;18;0.1;9.6;1;0;1;324;12;0.4;11;3;0.32;78;51;314;0.03;0.02;0.06;0;0;2.7;1.6;8;0.5;24.3;34.7;22;9.4
Koek, gebak, snoep, ijs;Tompouce;Tompouce;vers;100;286;4;37;14;8;6;1.6;0.7;9;0;0.5;257;42;0.3;7;2;0.23;78;55;58;0.05;0.12;0.06;0.31;1;1.1;1.3;12;0.3;23.8;12.7;9;14.5
Koek, gebak, snoep, ijs;Turks Gebak tulumba tatlici;Turkish Pastries tulumba tatlici;gram;1;389;4;55;17;3;14;;4.8;70;0;1.1;53;;;;;;38;;;;;;;;;;;;31.9;22.9;18;
Koek, gebak, snoep, ijs;Tussendoorbiscuit fruit;Meanwhile Biscuit Fruit;stuks;20;351;6;65;8;1;7;0.1;1.5;14;0;5.7;128;290;7;48;;0.2;340;148;;0.07;0.03;1.2;;0;;1.5;;0.3;38.1;26.1;21;26
Koek, gebak, snoep, ijs;Twix;Twix;reep;58;487;5;64;23;10;13;1.2;0.7;5;0;1;170;109;1.3;24;1;0.53;159;96;16;0.08;0.13;0.05;;1;0.3;0.2;;0.3;48.7;15.5;7;18.1
Koek, gebak, snoep, ijs;Vienetta ijs div smaken;Vienetta ice cream flavors div;stuks;70;294;4;37;15;11;4;0;0.3;26;0;1.2;57;98;0.1;18;;;150;70;72;0.06;0.1;0.04;0.3;0;;;6;0.1;27.9;9.3;5;18.9
Koek, gebak, snoep, ijs;Vlaai kruimel-;Crumb pie;punt;110;209;4;33;7;3;4;0;2;24;0;1.6;141;24;0.6;12;2;0.31;173;57;93;0.05;0.07;0.07;0.1;3;0.6;0.3;16;0.5;17.2;16.1;11;15.8
Koek, gebak, snoep, ijs;Vlaai rijste-;Rice Flan-;punt;85;239;7;31;10;4;6;0;2.6;55;0;0.6;310;99;0.6;17;4;0.73;171;128;111;0.06;0.21;0.08;0.44;1;0.9;0.3;26;0.4;9.4;21;12;18.6
Koek, gebak, snoep, ijs;Vlaai vruchten-;Fruit flan;punt;85;224;4;37;7;2;4;0.8;0.7;17;0;1.7;149;25;1.2;10;2;0.25;122;55;28;0.05;0.06;0.08;0.1;4;0.3;1.8;5;0.5;20.5;16.9;12;15.3
Koek, gebak, snoep, ijs;Vlaaibodem Limburgse;Soil Limburg flan;gram;1;293;8;41;11;4;7;0;3.1;61;0;1.2;461;52;0.9;19;4;0.71;146;120;118;0.08;0.14;0.1;0.3;1;1;0.2;44;0.6;5.1;35.8;24;15.8
Koek, gebak, snoep, ijs;Voedingsbiscuit fruitkick;Biscuit fruit diet kick;stuks;33;372;6;60;12;1;11;0;3.1;18;0;5.8;140;300;7;50;;1.5;240;180;;0.28;0.08;1.1;;0;0.1;1.5;;0.5;33.3;26.3;22;32.1
Koek, gebak, snoep, ijs;Volkorenbiscuit;Wholemeal Biscuit;stuks;10;452;9;68;16;5;11;;1;30;0;5.5;500;30;4;64;4;2.7;300;300;0;0.25;0.1;0.06;0;0;0.1;4;11;2;16.7;51.3;36;33.3
Koek, gebak, snoep, ijs;Volkorenontbijtkoek;Wholemeal Gingerbread;plak;20;302;5;66;2;1;2;0;0.5;0;0;4.5;150;43;2.7;50;;0.57;390;168;0;0.09;0.06;0.07;0;0;;;8;0.2;32;34;20;33.6
Koek, gebak, snoep, ijs;Vruchtendessertsaus;Fruit Dessert Sauce;sauslepel;25;160;0;40;0;0;0;0;0;0;0;0.5;;8;0.4;2;;0.05;;9;0;;;;0;;0;;0;;40;0;0;
Koek, gebak, snoep, ijs;Vruchtengebak;Fruit Cake;stuks;100;238;3;23;15;7;8;0.7;0.6;68;0;0.9;55;46;0.5;15;3;0.33;132;60;154;0.03;0.1;0.06;0.18;6;0.5;0.7;9;0.4;18.8;4;4;18.8
Koek, gebak, snoep, ijs;Vruchtenkoekjes;Fruit Cakes;stuks;9;292;0;73;0;0;0;0;0;0;0;;;;0;;;;;;;;;;0;;0;;0;;73;0;0;
Koek, gebak, snoep, ijs;Vruchtensaus;Fruit Sauce;sauslepel;25;160;0;40;0;0;0;0;0;0;0;0.5;;8;0.4;2;;0.05;;9;0;;;;0;;0;;0;;40;0;0;
Koek, gebak, snoep, ijs;Vruchtentaart;Fruit Cake;stuks;100;238;3;23;15;7;8;0.7;0.6;68;0;0.9;55;46;0.5;15;3;0.33;132;60;154;0.03;0.1;0.06;0.18;6;0.5;0.7;9;0.4;18.8;4;4;18.8
Koek, gebak, snoep, ijs;Vruchtentaart v cakedeeg;Fruit cake v cake dough;plak;75;252;4;32;12;5;7;0;3.6;35;0;2.1;137;12;0.4;8;3;0.26;144;46;133;0.04;0.06;0.07;0.11;4;1.1;0.5;10;0.4;18.8;13.4;10;12.4
Koek, gebak, snoep, ijs;Vruchtentaart v zandgebak;Fruit pie shortbread v;stuks;85;247;3;32;12;5;7;0;3.6;43;0;1.7;130;23;0.6;13;2;0.31;163;57;134;0.04;0.03;0.09;0.14;19;1.1;0.5;20;0.4;16.7;14.7;11;17.8
Koek, gebak, snoep, ijs;Vruchtenvlaai;Fruit Pie;punt;85;224;4;37;7;2;4;0.8;0.7;17;0;1.7;149;25;1.2;10;2;0.25;122;55;28;0.05;0.06;0.08;0.1;4;0.3;1.8;5;0.5;20.5;16.9;12;15.3
Koek, gebak, snoep, ijs;Waaier biscuit;Biscuit range;stuks;10;435;9;77;10;4;6;1.4;1;7;0;2.3;370;28;1.1;18;4;0.41;172;142;0;0.03;0.03;0.04;0;0;0.1;3.8;9;1;17.7;59;35;16.1
Koek, gebak, snoep, ijs;Waterijs;Water ice;op 1 stokje;55;91;0;22;0;0;0;0;0;0;0;0.2;6;8;0.1;3;0;0.02;32;2;2;0.01;0.01;0.01;0;4;0;0;2;0;21.4;1;0;20
Koek, gebak, snoep, ijs;Winegums;Wine gums;stuks;5;204;1;50;0;0;0;0;0;0;0;0;65;360;0.1;2;;;360;3;0;;;;0;;0;;0;;50;0;4;3
Koek, gebak, snoep, ijs;Worst droge sucuk Turks;Dry sausage sucuk Turkish;plak;15;446;20;7;38;17;20;1.4;0.7;58;0;0;1.522;;3.2;;;;264;;;0.09;0.34;0.16;2.55;;;;2;;0;6.7;0;
Koek, gebak, snoep, ijs;Zandtaart;Sand Cake;stuks;50;532;5;59;31;12;18;0.1;9.6;1;0;1;324;12;0.4;11;3;0.32;78;51;314;0.03;0.02;0.06;0;0;2.7;1.6;8;0.5;24.3;34.7;22;9.4
Koek, gebak, snoep, ijs;Zout koekje;Salt cake;stuks;8;611;7;40;47;21;26;5.8;3.2;0;0;1.4;600;15;0.6;10;5;0.32;50;50;155;0.32;0.26;0.1;0;0;0.7;0.1;5;3.8;4;36;28;7.1
Koek, gebak, snoep, ijs;Zuurtje;Zuurtje;stuks;5;380;0;95;0;0;0;0;0;0;0;0;25;4;0.2;2;0;0.04;5;3;0;0;0;0;0;0;0;0;0;0;71;24;0;
Kruiden, specerijen;Aroma vloeibaar;Aroma liquid;gram;1;0;0;0;0;0;0;0;0;0;0;0;6.8;100;0;;;;;0;0;0;0;0;;0;0;;;0;0;0;0;,,
Kruiden, specerijen;Augurken tafelzuur glas;Gherkin pickles glass;middel;22;8;1;1;0;0;0;0;0;0;0;1.3;350;35;0.2;11;0;0.3;30;8;13;0;0;0.04;0;0;0;0.4;4;0;1;0;4;8,,
Kruiden, specerijen;Basilicum gedroogd;Dried basil;theelepel;1;264;14;43;4;0;4;0;1;0;0;17.8;34;2.113;4.2;;;;3.433;490;0;0.15;0.32;;0;61;0;;0;6.9;0;43;56;35,,
Kruiden, specerijen;Basilicum vers;Fresh basil;1/4 theelepel;0.5;20;4;1;0;0;0;0;0;0;0;9.1;25;40;7.1;52;1;0.9;700;30;445;0.06;0.3;0.12;0;125;0;1.7;124;1.4;0;1;16;7.5,,
Kruiden, specerijen;Bieslook vers;Fresh chives;gram;1;57;4;8;1;0;1;0;0;0;0;2.3;3;167;1.3;32;;;434;75;0;0.14;0.15;0;0;47;0;;;0.6;0;8;16;18.8,,
Kruiden, specerijen;Bladselderij vers;Celery Fresh;eetlepel;2;12;1;2;0;0;0;0;0;0;0;1.8;80;80;0.1;10;;1.2;700;40;0;0.06;0.1;1.2;0;60;0;;124;0.3;2;0;4;40,,
Kruiden, specerijen;Bleekselderij gekookt mz;Celery cooked mz;groentelepel punt;55;12;1;2;0;0;0;0;0;0;0;2;250;80;0.5;4;3;0.1;400;40;0;0.08;0.15;0.06;0;10;0;0.2;7;0.8;1;1;4;40,,
Kruiden, specerijen;Bleekselderij gekookt zz;Celery cooked zz;groentelepel punt;55;12;1;2;0;0;0;0;0;0;0;2;150;80;0.5;4;3;0.1;400;40;0;0.08;0.15;0.06;0;10;0;0.2;7;0.8;1;1;4;40,,
